Well,date,top measure (m),bottom measure (m),formation,,,Dataset Name
100/10-36-081-25W4/00,2000-02-21,386,389,LOWER GRAND RAPIDS,JET PERFORATION,JET PERFORATION,Perforation
100/10-36-081-25W4/00,2007-11-16,300,0,LOWER GRAND RAPIDS,PACKER,PACKER,Packer
100/11-02-082-25W4/00,2004-02-02,420.3,421.3,,JET PERFORATION,JET PERFORATION,Perforation
100/11-02-082-25W4/00,2004-02-11,362.5,365.5,,JET PERFORATION,JET PERFORATION,Perforation
100/11-02-082-25W4/00,2004-03-18,417.3,0,,PACKER,PACKER,Packer
100/11-30-081-24W4/00,1975-02-12,425.5,465.7,WABISKAW MBR,OPEN-HOLE COMPLETION,OPEN-HOLE COMPLETION,OpenHole : 0
100/11-30-081-24W4/00,1975-03-10,401.7,403.6,WABISKAW MBR,JET PERFORATION,JET PERFORATION,Perforation
100/11-30-081-24W4/00,1991-07-06,401,403.5,WABISKAW MBR,JET PERFORATION,JET PERFORATION,Perforation
100/11-30-081-24W4/00,1991-07-06,401,402,WABISKAW MBR,JET PERFORATION,JET PERFORATION,Perforation
100/11-30-081-24W4/00,1991-07-06,432.7,437.7,WABISKAW MBR,JET PERFORATION,JET PERFORATION,Perforation
100/12-32-080-24W4/00,1996-10-02,444.9,447.2,WABISKAW MBR,OPEN-HOLE COMPLETION,OPEN-HOLE COMPLETION,OpenHole : 0
100/12-32-080-24W4/00,1996-10-03,407.8,409.3,WABISKAW MBR,JET PERFORATION,JET PERFORATION,Perforation
100/12-32-080-24W4/00,1996-10-04,431.1,0,WABISKAW MBR,PACKER,PACKER,Packer
100/13-05-081-24W4/00,1997-03-14,447,452,WABAMUN GRP,OPEN-HOLE COMPLETION,OPEN-HOLE COMPLETION,OpenHole : 0
100/13-05-081-24W4/00,1997-03-16,416,418,WABISKAW MBR,JET PERFORATION,JET PERFORATION,Perforation
100/13-05-081-24W4/00,2009-01-24,422.5,423.2,WABISKAW MBR,JET PERFORATION,JET PERFORATION,Perforation
100/13-05-081-24W4/00,2009-01-25,413,0,CLEARWATER FM,BRIDGE PLUG,BRIDGE PLUG,BridgePlug
100/13-05-081-24W4/00,2009-01-25,421,0,WABISKAW MBR,BRIDGE PLUG,BRIDGE PLUG,BridgePlug
100/13-05-081-24W4/00,2009-01-25,425,440,WABISKAW MBR,BRIDGE PLUG CAPPED W/CEMENT,BRIDGE PLUG CAPPED W/CEMENT,BridgePlug
100/13-05-081-24W4/00,2009-01-26,323,324.8,CLEARWATER FM,JET PERFORATION,JET PERFORATION,Perforation
100/13-05-081-24W4/00,2009-01-26,394,396.5,CLEARWATER FM,JET PERFORATION,JET PERFORATION,Perforation
100/13-20-081-24W4/00,2003-01-12,438.8,439.8,MCMURRAY FM,JET PERFORATION,JET PERFORATION,Perforation
100/13-20-081-24W4/00,2003-02-10,435.5,436,MCMURRAY FM,JET PERFORATION,JET PERFORATION,Perforation
100/13-20-081-24W4/00,2003-02-10,437,0,MCMURRAY FM,BRIDGE PLUG,BRIDGE PLUG,BridgePlug
100/13-20-081-24W4/00,2003-02-11,415.2,417.2,WABISKAW MBR,JET PERFORATION,JET PERFORATION,Perforation
100/13-20-081-24W4/00,2003-02-18,359,360,CLEARWATER SD,JET PERFORATION,JET PERFORATION,Perforation
100/13-20-081-24W4/00,2003-02-18,361,362,CLEARWATER SD,JET PERFORATION,JET PERFORATION,Perforation
100/13-20-081-24W4/00,2003-02-18,385.5,388.5,CLEARWATER SD,JET PERFORATION,JET PERFORATION,Perforation
100/13-20-081-24W4/00,2003-02-18,389.5,392.5,CLEARWATER SD,JET PERFORATION,JET PERFORATION,Perforation
100/13-20-081-24W4/00,2003-03-07,410,0,CLEARWATER SD,PACKER,PACKER,Packer
100/13-20-081-24W4/00,2017-03-05,294.5,296,GRAND RAPIDS FM,JET PERFORATION,JET PERFORATION,Perforation
100/13-20-081-24W4/00,2017-03-05,423,0,WABISKAW MBR,THROUGH TUBING PACKER,THROUGH TUBING PACKER,Packer
100/14-17-081-24W4/00,1989-09-29,462,535,MCMURRAY FM,OPEN-HOLE COMPLETION,OPEN-HOLE COMPLETION,OpenHole : 0
100/14-17-081-24W4/00,1989-10-21,484,535,BLUERIDGE MBR,CEMENT PLUG,CEMENT PLUG,BridgePlug
100/14-17-081-24W4/00,1989-10-22,434,436.5,CLEARWATER FM,JET PERFORATION,JET PERFORATION,Perforation
100/14-17-081-24W4/00,1989-10-22,462,484,MCMURRAY FM,OPEN-HOLE COMPLETION,OPEN-HOLE COMPLETION,OpenHole : 0
100/14-17-081-24W4/00,1989-10-22,484,494.7,BLUERIDGE MBR,CEMENT PLUG,CEMENT PLUG,BridgePlug
100/14-17-081-24W4/00,1999-01-22,434,436,CLEARWATER FM,JET PERFORATION,JET PERFORATION,Perforation
100/14-17-081-24W4/00,1999-01-28,452,0,WABISKAW MBR,PACKER,PACKER,Packer
100/14-17-081-24W4/00,1999-01-28,468,0,MCMURRAY FM,PACKER,PACKER,Packer
100/15-19-081-24W4/00,2004-02-02,436.1,436.8,WABISKAW MBR,JET PERFORATION,JET PERFORATION,Perforation
100/15-19-081-24W4/00,2004-02-04,424,425,WABISKAW MBR,JET PERFORATION,JET PERFORATION,Perforation
100/15-19-081-24W4/00,2004-02-09,393,394.5,CLEARWATER SD,JET PERFORATION,JET PERFORATION,Perforation
100/15-19-081-24W4/00,2004-02-12,366,367,CLEARWATER SD,JET PERFORATION,JET PERFORATION,Perforation
100/15-19-081-24W4/00,2004-02-21,421,0,WABISKAW MBR,PACKER,PACKER,Packer
100/15-29-080-24W4/00,2002-02-02,394.5,396.5,,JET PERFORATION,JET PERFORATION,Perforation
100/15-29-080-24W4/00,2002-02-05,312.7,313.7,,JET PERFORATION,JET PERFORATION,Perforation
100/15-29-080-24W4/00,2002-02-05,343,344,,JET PERFORATION,JET PERFORATION,Perforation
100/15-29-080-24W4/00,2002-02-05,371,372,,JET PERFORATION,JET PERFORATION,Perforation
100/15-29-080-24W4/00,2002-02-05,391,0,,BRIDGE PLUG,BRIDGE PLUG,BridgePlug
102/06-08-081-24W4/00,2000-03-05,380,382.5,CLEARWATER SD,JET PERFORATION,JET PERFORATION,Perforation
102/06-08-081-24W4/00,2000-03-05,407,408.5,CLEARWATER SD,JET PERFORATION,JET PERFORATION,Perforation
102/06-08-081-24W4/00,2000-03-06,350,354,CLEARWATER SD,JET PERFORATION,JET PERFORATION,Perforation
102/06-08-081-24W4/00,2000-03-06,368,369.5,CLEARWATER SD,JET PERFORATION,JET PERFORATION,Perforation
102/06-08-081-24W4/00,2000-03-06,409.8,411.8,CLEARWATER SD,JET PERFORATION,JET PERFORATION,Perforation
102/06-19-081-24W4/00,1998-01-11,307,308,LOWER GRAND RAPIDS,JET PERFORATION,JET PERFORATION,Perforation
102/06-19-081-24W4/00,1998-01-11,329,330,CLEARWATER FM,JET PERFORATION,JET PERFORATION,Perforation
102/06-19-081-24W4/00,1998-01-11,339,340.5,CLEARWATER FM,JET PERFORATION,JET PERFORATION,Perforation
102/06-19-081-24W4/00,1998-01-11,370,371,CLEARWATER FM,JET PERFORATION,JET PERFORATION,Perforation
102/06-19-081-24W4/00,1998-01-11,398,399,CLEARWATER FM,JET PERFORATION,JET PERFORATION,Perforation
102/06-19-081-24W4/00,2008-03-01,309.9,0,LOWER GRAND RAPIDS,PACKER,PACKER,Packer
102/06-19-081-24W4/00,2008-03-01,332.8,0,CLEARWATER FM,PACKER,PACKER,Packer
102/06-19-081-24W4/00,2008-03-01,341.9,0,CLEARWATER FM,PACKER,PACKER,Packer
102/06-20-081-24W4/00,1998-01-24,377,380,CLEARWATER FM,JET PERFORATION,JET PERFORATION,Perforation
102/06-20-081-24W4/00,1998-01-24,404.5,406,CLEARWATER FM,JET PERFORATION,JET PERFORATION,Perforation
102/06-20-081-24W4/00,1998-01-24,408,410,CLEARWATER FM,JET PERFORATION,JET PERFORATION,Perforation
102/06-20-081-24W4/00,1998-01-24,440.5,442,WABISKAW MBR,JET PERFORATION,JET PERFORATION,Perforation
102/06-20-081-24W4/00,1998-01-24,447,448,MCMURRAY FM,JET PERFORATION,JET PERFORATION,Perforation
102/06-20-081-24W4/00,1998-01-25,338,339,CLEARWATER FM,JET PERFORATION,JET PERFORATION,Perforation
102/06-20-081-24W4/00,1998-01-25,346.5,348,CLEARWATER FM,JET PERFORATION,JET PERFORATION,Perforation
102/06-20-081-24W4/00,1998-01-25,430,0,WABISKAW MBR,PACKER,PACKER,Packer
102/10-06-081-24W4/00,1995-11-28,422,423,,JET PERFORATION,JET PERFORATION,Perforation
102/10-06-081-24W4/00,1995-11-29,438.7,469,,OPEN-HOLE COMPLETION,OPEN-HOLE COMPLETION,OpenHole : 0
102/10-06-081-24W4/00,1995-12-29,412,414,,JET PERFORATION,JET PERFORATION,Perforation
102/10-06-081-24W4/00,1996-03-15,458.5,469,,CEMENT PLUG,CEMENT PLUG,BridgePlug
102/10-06-081-24W4/00,2010-01-25,319.5,321,,JET PERFORATION,JET PERFORATION,Perforation
102/10-06-081-24W4/00,2010-01-25,387,389,,JET PERFORATION,JET PERFORATION,Perforation
102/10-06-081-24W4/00,2010-01-25,404.7,0,,BRIDGE PLUG,BRIDGE PLUG,BridgePlug
102/10-06-081-24W4/00,2010-01-25,425.7,0,,BRIDGE PLUG,BRIDGE PLUG,BridgePlug
102/10-06-081-24W4/00,2010-01-28,324,0,,PACKER,PACKER,Packer
